signal_id,channel,direction,signal_received_utc,market_filled_utc,fill_latency_ms,range_arrived_utc,range_delay_sec,tps_arrived_utc,range_low,range_high,market_entry_price,tps_initial,sl_initial,sl_final,range_decision,adverse_action,n_tickets_opened,n_dca_filled,total_lot,mfe_usd,mae_usd,mfe_at,mae_at,n_mgmt_msgs,mgmt_msgs_classified,mgmt_msgs_applied,closed_at_utc,closed_by,duration_sec,total_pnl_usd,tag,notes
canal2_13478,canal2,BUY,2026-06-08T14:20:08.504,2026-06-08T14:20:08.646,141,2026-06-08T14:20:20.119,11.5,,4320.0,4324.0,4324.42,,,4314.0,A_inside,rescue_market,5,0,,0.0,-37.03,,2026-06-08T14:25:23.406+00:00,3,"[""MOVE_SL_TO_PRICE"", ""MOVE_SL_TO_BE"", ""CLOSE_FIRST""]","[true, true, true]",2026-06-08T14:26:39.062,SL,390.4,-13.08,LOSS_CLEAN,auto-finalize: SL×5
canal1_20136,canal1,SELL,2026-06-08T15:05:56.536,2026-06-08T15:05:56.662,125,,,2026-06-08T15:06:44.886,,,4328.54,"[4325.0, 4315.0, 4310.0, 4305.0]",4345.0,4345.0,,rescue_market,4,0,,0.0,0.0,,,4,"[""INFORMATIONAL"", ""PROTECT_AND_NOTIFY_AMBIG"", ""INFORMATIONAL"", ""MOVE_SL_TO_BE""]","[true, false, true, true]",2026-06-08T15:19:46.271,RECONCILER,829.6,3.07,WIN_CLEAN,cierre MT5 detectado por reconciler (monitor no lo registro)
canal1_20132,canal1,SELL,2026-06-08T14:08:03.696,2026-06-08T14:08:03.830,134,2026-06-08T14:08:43.788,40.0,,4320.0,4325.0,4322.1,,,4340.0,A_inside,rescue_market,4,0,,22.080000000000002,-61.15,2026-06-08T14:39:48.055+00:00,2026-06-08T15:45:13.594+00:00,6,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""PROTECT_AND_NOTIFY_AMBIG""]","[true, true, true, true, true, false]",2026-06-08T15:45:18.605,SL,5834.8,-61.99,LOSS_MGMT_IGNORED,auto-finalize: SL×4
canal2_13493,canal2,SELL,2026-06-09T07:30:33.999,2026-06-09T07:30:34.157,157,2026-06-09T07:30:34.658,0.5,,4330.0,4334.0,4329.63,,,4338.0,A_inside,rescue_market,5,0,,15.560000000000002,-2.18,2026-06-09T07:39:13.992+00:00,2026-06-09T07:31:05.613+00:00,8,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true, true, true, true, true, true, true]",2026-06-09T07:45:40.796,RECONCILER,906.6,12.03,WIN_CLEAN,cierre MT5 detectado por reconciler (monitor no lo registro)
canal2_13501,canal2,SELL,2026-06-09T11:00:03.666,2026-06-09T11:00:03.802,136,2026-06-09T11:00:20.687,16.9,,4338.5,4342.5,4339.15,,,4347.0,A_inside,rescue_market,5,0,,8.23,-6.12,2026-06-09T11:04:55.255+00:00,2026-06-09T11:00:45.978+00:00,8,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""MOVE_SL_TO_BE"", ""CLOSE_FIRST"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true, true, true, true, true, true, true]",2026-06-09T11:08:14.320,LOSS_BE,490.5,2.66,WIN_SHORT,"auto-finalize: CLOSE_FIRST×2, LOSS_BE×3"
canal1_20142,canal1,SELL,2026-06-09T12:25:29.808,2026-06-09T12:25:29.940,131,,,2026-06-09T12:26:11.082,,,4338.34,"[4335.0, 4331.0, 4327.0, 4322.0]",4351.0,4351.0,,rescue_market,4,0,,0.0,0.0,,,2,"[""MOVE_SL_TO_BE"", ""INFORMATIONAL""]","[true, true]",2026-06-09T12:31:43.226,RECONCILER,373.3,-0.48,LOSS_CLEAN,cierre MT5 detectado por reconciler (monitor no lo registro)
canal1_20147,canal1,SELL,2026-06-09T12:59:15.161,2026-06-09T12:59:15.291,130,,,2026-06-09T12:59:23.232,,,4339.47,"[4335.0, 4331.0, 4327.0, 4322.0]",4351.0,4351.0,,rescue_market,4,0,,0.0,0.0,,,8,"[""MOVE_SL_TO_BE"", ""MOVE_SL_TO_BE"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""GEMINI_FAILED"", ""MOVE_SL_TO_BE"", ""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true, true, true, false, true, true, true]",2026-06-09T13:47:44.505,RECONCILER,2909.2,22.15,WIN_CLEAN,cierre MT5 detectado por reconciler (monitor no lo registro)
canal2_13508,canal2,BUY,2026-06-09T14:00:10.085,2026-06-09T14:00:10.221,135,2026-06-09T14:00:47.810,37.6,,4324.0,4328.0,4329.89,,,4320.0,B_favorable,rescue_market,5,0,,16.11,0.0,2026-06-09T14:02:13.626+00:00,,5,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""GEMINI_FAILED""]","[true, true, true, true, false]",2026-06-09T14:04:00.373,LOSS_BE,230.2,7.24,WIN_CLEAN,"auto-finalize: LOSS_BE×3, TP2×1, TP3×1"
canal1_20158,canal1,BUY,2026-06-09T14:02:09.968,2026-06-09T14:02:10.095,126,,,2026-06-09T14:03:15.205,,,4334.48,"[4337.0, 4343.0, 4347.0, 4352.0]",4320.0,4320.0,,rescue_market,4,0,,0.0,0.0,,,2,"[""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true]",2026-06-09T14:14:45.241,RECONCILER,755.1,-50.15,LOSS_CLEAN,cierre MT5 detectado por reconciler (monitor no lo registro)
canal2_13514,canal2,SELL,2026-06-09T14:14:18.784,2026-06-09T14:14:18.932,147,2026-06-09T14:14:32.307,13.4,,4321.0,4325.0,4320.37,,,4330.0,A_inside,rescue_market,5,0,,14.57,-11.56,2026-06-09T14:17:08.864+00:00,2026-06-09T14:15:33.081+00:00,8,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""MOVE_SL_TO_BE"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true, true, true, true, true, true, true]",2026-06-09T14:18:14.272,TP1,235.3,27.57,WIN_NORMAL,"auto-finalize: TP1×1, TP2×1, TP3×1, TP4×1, TP5×1"
canal2_13525,canal2,SELL,2026-06-09T14:30:03.315,2026-06-09T14:30:03.456,140,2026-06-09T14:30:17.178,13.7,,4320.0,4325.0,4318.67,,,4329.0,B_favorable,rescue_market,5,0,,17.15,0.0,2026-06-09T14:31:48.073+00:00,,5,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true, true, true, true]",2026-06-09T14:36:10.218,TP1,366.8,28.08,WIN_CLEAN,"auto-finalize: TP1×1, TP2×1, TP3×1, TP4×1, TP5×1"
canal1_20170,canal1,SELL,2026-06-09T14:30:15.995,2026-06-09T14:30:16.291,296,2026-06-09T14:30:45.077,28.8,,4318.0,4322.0,4315.67,,,4340.0,B_favorable,rescue_market,4,0,,15.46,-7.89,2026-06-09T14:36:12.930+00:00,2026-06-09T14:32:41.195+00:00,5,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""PROTECT_AND_NOTIFY_AMBIG"", ""MOVE_SL_TO_BE"", ""INFORMATIONAL""]","[true, true, false, true, true]",2026-06-09T14:42:21.024,LOSS_BE,724.7,25.04,WIN_NORMAL,"auto-finalize: LOSS_BE×1, TP2×1, TP3×1, TP4×1"
